Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-01,4168.94,4191.23,4161.13,4166.28,4394023
2018-10-02,4166.04,4167.57,4141.09,4151.07,3988522
2018-10-03,4151.23,4174.92,4151.23,4162.39,5910061
2018-10-04,4165.24,4165.89,4140.47,4148.96,6285871
2018-10-05,4145.46,4153.02,4105.7,4113.67,7179325
2018-10-08,4104.6,4106.97,4057.57,4061.64,4501718
2018-10-09,4062,4070.78,4025.2,4025.2,4542088
2018-10-10,4052.36,4054.08,3987.89,3996.19,6656241
2018-10-11,3922.82,3952.13,3914.63,3941.47,12870539
2018-10-12,3955.24,3986.15,3953.27,3973.46,5700883
2018-10-15,3992.78,3992.78,3960.23,3973.98,6189719
2018-10-16,3976.83,4024.37,3969.08,4015.6,13111045
2018-10-17,4030.79,4053.41,4010.65,4018.34,11136585
2018-10-18,4026.89,4026.99,3965.83,3980.93,13727794
2018-10-19,3980.4,3987.25,3949.69,3962.26,12132963
2018-10-22,3975.91,3986.93,3943.55,3943.55,6629474
2018-10-23,3924.11,3937.81,3886.5,3886.5,6813036
2018-10-24,3888.02,3913.23,3876.39,3876.39,5938140
2018-10-25,3840.24,3870.72,3794.74,3863.87,7634585
2018-10-26,3858.1,3858.73,3812.88,3812.88,8054078
2018-10-29,3828.1,3838.24,3766.17,3775.58,6667809
2018-10-30,3792.91,3800.02,3759.15,3768.95,6180843
2018-10-31,3789.31,3840.69,3789.31,3819.25,7616335
2018-11-02,3839.08,3888.08,3839.08,3869.3,11029644
2018-11-05,3886.24,3895.41,3866.86,3881.57,5861476
2018-11-06,3898.6,3899.89,3866.1,3888.82,10383752
2018-11-07,3898.01,3938.87,3893.81,3920.86,15299773
2018-11-08,3937.75,3957.04,3920.65,3952.41,8036704
2018-11-09,3933.69,3944.67,3889.23,3893.7,5109792
2018-11-13,3880.38,3903.22,3874.2,3890.64,8595830
2018-11-14,3895,3903.45,3871.6,3879.22,46715610
2018-11-15,3881.59,3897.48,3869.81,3874.07,23371142
2018-11-16,3880.08,3900.6,3775.3,3802.11,21382379
2018-11-19,3819.07,3828.09,3785.62,3816.3,27794392
2018-11-20,3813.25,3813.25,3755.1,3772.3,53090772
2018-11-21,3783.66,3839.48,3782.39,3832.5,69288529
2018-11-22,3845.43,3886.59,3841.43,3879.1,44219916
2018-11-23,3881.04,3894.84,3875.86,3882.85,56194671
2018-11-26,3892.87,3920.25,3836.29,3848.32,26549053
2018-11-27,3847.59,3886.7,3847.59,3885.47,36339948
2018-11-28,3887.54,3917.41,3886.39,3917.41,25725550
2018-11-29,3935.79,3952.92,3926.64,3943.7,15759662
2018-11-30,3948.85,3949.96,3920.22,3944.38,40178748
2018-12-03,3971.84,4040.08,3971.84,4030.97,11482482
2018-12-04,4020.63,4061.13,4015.64,4059.92,16621231
2018-12-05,4016.72,4053.43,4004.9,4053.43,19329310
2018-12-06,4039.7,4039.7,3981.55,3997.26,13457359
2018-12-07,4008.05,4039.87,3982.97,3994.27,13903817
2018-12-10,3990.18,3998.34,3969.07,3977.69,12271930
2018-12-11,3989.66,3992.67,3956.42,3961.57,9357029
2018-12-12,3970.82,3995.77,3951.91,3992.34,14062701
2018-12-13,4005.41,4076.59,4000.68,4076.59,29140080
2018-12-14,4059.44,4082.89,4045.71,4066.57,40016987
2018-12-17,4067.83,4074.23,4005.47,4013.42,13740189
2018-12-18,4004.34,4005.46,3985.33,4000.83,38950549
2018-12-19,3995.18,4014.4,3989.46,4002.02,35087946
2018-12-20,3974.91,3975.64,3926.58,3944.76,14759582
2018-12-21,3932,3934.47,3869.38,3901.23,23270726
2018-12-27,3921.93,3940.82,3889.57,3897.19,12496333
2018-12-28,3916.98,3934.35,3898.42,3909.37,7713252
2019-01-02,3912.68,3947.26,3888.83,3947.26,4339835
2019-01-03,3943.46,3952.86,3899.63,3906.97,5867615
2019-01-04,3916.98,3930.22,3908.08,3926.99,5402778
2019-01-07,3940.52,3979.7,3939.57,3977,4191286
2019-01-08,3983.53,4005.63,3971.92,3994.23,4756857
2019-01-09,3996.8,4041.29,3987.19,4018.89,9365947
2019-01-10,4019.99,4029.87,3997.86,4016.78,4801469
2019-01-11,4035.33,4072.75,4029.6,4049.7,13837674
2019-01-14,4051.88,4051.88,4016.46,4020.99,10170848
2019-01-15,4029.79,4040.98,4014.67,4027.93,6388656
2019-01-16,4036.28,4087.29,4030.6,4080.02,6641515
2019-01-17,4078.95,4104.93,4061.98,4072.62,7701898
2019-01-18,4080.4,4104.05,4070.51,4095.41,6094512
2019-01-21,4092.95,4097.26,4050.11,4071.26,5019200
2019-01-22,4070.24,4082.54,4022.48,4032.13,8587589
2019-01-23,4018.1,4099.66,4018.03,4091.27,8382254
2019-01-24,4086.66,4122.82,4067.46,4087.57,4169896
2019-01-25,4092.6,4097.87,4068.02,4083.7,5530874
2019-01-28,4091.19,4102.5,4054.98,4075.91,3277995
2019-01-29,4076.29,4091.55,4063.14,4080.18,3999776
2019-01-30,4084.06,4085.26,4034.55,4039.37,6775858
2019-01-31,4060.2,4083.07,4057.16,4076.71,6167193
2019-02-01,4090.79,4092.27,4073.21,4082.6,5766405
2019-02-04,4091.42,4093.15,4068.04,4083.69,4775166
2019-02-05,4099.03,4126.12,4091.12,4126.12,11536719
2019-02-06,4127.55,4156.17,4122.61,4151.32,9950254
2019-02-07,4146.38,4149.22,4095.26,4115.91,8715627
2019-02-08,4113.37,4161.34,4096.43,4161.34,7781380
2019-02-11,4152.02,4159.74,4132.24,4134.15,7648040
2019-02-12,4138.23,4151.39,4128.49,4138.36,11790014
2019-02-13,4156.52,4156.52,4088.3,4091.65,4321752
2019-02-14,4095.12,4097.09,4052.36,4053.32,4662509
2019-02-15,4061.57,4091.73,4056.76,4089.33,4403037
2019-02-18,4101.81,4110.97,4075.05,4087.31,3652963
2019-02-19,4085.22,4093.96,4072.97,4077.12,8781559
2019-02-20,4084.76,4111.33,4076.79,4100.73,6607427
2019-02-21,4105.9,4131.75,4094.1,4126.18,5052893
2019-02-22,4126.35,4145.84,4119.25,4141.71,3529694
2019-02-25,4149.67,4223.83,4136.65,4188.87,4922426
2019-02-26,4197.04,4197.25,4166.41,4166.41,12974105
2019-02-27,4177.98,4185.69,4154.92,4162.7,33243186
2019-02-28,4167.89,4179.72,4131.06,4134.58,5295574
2019-03-01,4156.35,4183.37,4150.95,4178.6,5737904
